timestamp,index,uuid,name,memory.used,memory.total,utilization.gpu,utilization.memory,power.draw,temperature.gpu
2026/09/24 02:30:43.307, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 153.72, 45
2026/09/24 02:30:43.810, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 81.30, 44
2026/09/24 02:30:44.310, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 77.89, 44
2026/09/24 02:30:44.811, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 77.89, 44
2026/09/24 02:30:45.311, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 67.85, 42
2026/09/24 02:30:45.811, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 67.85, 42
2026/09/24 02:30:46.311, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 51.79, 41
2026/09/24 02:30:46.811, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 51.79, 41
2026/09/24 02:30:47.312, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 36.27, 41
2026/09/24 02:30:47.812, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 36.27, 41
2026/09/24 02:30:48.312, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 35.80, 40
2026/09/24 02:30:48.813, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 1, 24564, 0, 0, 35.80, 40
