hardware,repeat,model,prefix,cache,concurrency,requests,successful,failed,completion_tokens_per_s,latency_p95_s,ttft_p95_s
rtx4090,1,7b,unique,1,1,64,64,0,58.95804952159867,2.2283632782986387,0.11615771944634616
rtx4090,1,7b,unique,1,4,64,64,0,213.54248858396997,2.55678861385677,0.3290475336369127
rtx4090,1,7b,unique,1,16,64,64,0,663.8666011870123,3.639584100712089,0.9481963591417287
rtx4090,1,7b,unique,1,32,64,64,0,978.1477609896396,4.690518233878538,1.3895048587117345
rtx4090,2,1.5b,shared,0,1,64,64,0,191.08988896110873,0.6888421195093543,0.03416562422644347
rtx4090,2,1.5b,shared,0,4,64,64,0,629.0702502403612,0.8397751484531909,0.06657898479606957
rtx4090,2,1.5b,shared,0,16,64,64,0,2185.680990252515,0.9768083977513015,0.19750031570438295
rtx4090,2,1.5b,shared,0,32,64,64,0,3410.665310615577,1.2399247342022135,0.3655469795688984
rtx4090,2,1.5b,shared,1,1,64,64,0,193.5624069652321,0.6741427740547806,0.020021597761660813
rtx4090,2,1.5b,shared,1,4,64,64,0,647.0921517680388,0.8120949018746614,0.0335031948518008
rtx4090,2,1.5b,shared,1,16,64,64,0,2512.1536549170623,0.8603206165833399,0.08810239795129746
rtx4090,2,1.5b,shared,1,32,64,64,0,4461.272511665787,0.9165459044510499,0.08617083148565144
rtx4090,2,1.5b,unique,0,1,64,64,0,191.55187258033806,0.6868007382377982,0.037554992851801215
rtx4090,2,1.5b,unique,0,4,64,64,0,618.9901737132693,0.8550986672984435,0.07000895079690962
rtx4090,2,1.5b,unique,0,16,64,64,0,2166.9437741429015,0.9716611624928191,0.19971264605410396
rtx4090,2,1.5b,unique,0,32,64,64,0,3295.123925499257,1.2668697129003703,0.3668888533255085
rtx4090,2,1.5b,unique,1,1,64,64,0,190.63519797524415,0.6891210570232943,0.0383325362810865
rtx4090,2,1.5b,unique,1,4,64,64,0,622.2788160212,0.8498465974349528,0.06970981289632619
rtx4090,2,1.5b,unique,1,16,64,64,0,2147.5456612646362,0.9890969828702509,0.20113926185294986
rtx4090,2,1.5b,unique,1,32,64,64,0,3361.158143942652,1.2938924521207809,0.37947510788217187
rtx4090,2,7b,shared,0,1,64,64,0,59.10845285117908,2.222587549732998,0.11478631943464279
rtx4090,2,7b,shared,0,4,64,64,0,214.50515503748758,2.50300245329272,0.27766166371293366
rtx4090,2,7b,shared,0,16,64,64,0,679.7016818554972,3.096814156440087,0.7910041969968006
rtx4090,2,7b,shared,0,32,64,64,0,1011.2041179474967,4.9404199012555186,1.5998139991192146
rtx4090,2,7b,shared,1,1,64,64,0,59.68598249121797,2.184897046419792,0.034806690597906705
rtx4090,2,7b,shared,1,4,64,64,0,225.56034502415392,2.359318968746811,0.056652298616245385
rtx4090,2,7b,shared,1,16,64,64,0,848.8925402099741,2.50725876565557,0.23978350088000297
rtx4090,2,7b,shared,1,32,64,64,0,1474.378907487675,2.87023087607231,0.28813048964366317
rtx4090,2,7b,unique,0,1,64,64,0,58.34889992526481,2.253931964957155,0.12106246589682997
rtx4090,2,7b,unique,0,4,64,64,0,211.01973976712074,2.5648240035632623,0.2899954721098766
rtx4090,2,7b,unique,0,16,64,64,0,653.2905091907046,3.3724932576529674,0.8064601640217006
rtx4090,2,7b,unique,0,32,64,64,0,970.0571725268529,5.289832622907125,1.7492165355943143
rtx4090,2,7b,unique,1,1,64,64,0,58.980780492139715,2.2313457424752414,0.1156513680703938
rtx4090,2,7b,unique,1,4,64,64,0,213.57878782759852,2.518499470874667,0.2815724671818316
rtx4090,2,7b,unique,1,16,64,64,0,668.0410643347543,3.306887055700644,0.7770349346101284
rtx4090,2,7b,unique,1,32,64,64,0,983.7239654902475,5.036141286673955,1.582034023734741
rtx4090,3,1.5b,shared,0,1,64,64,0,192.1879422841204,0.680659410962835,0.03514021893497556
rtx4090,3,1.5b,shared,0,4,64,64,0,631.232943532006,0.8401994110550731,0.07321677713189274
rtx4090,3,1.5b,shared,0,16,64,64,0,2189.70659048759,0.9661278990330174,0.19452762068249285
rtx4090,3,1.5b,shared,0,32,64,64,0,3477.6256994137634,1.2809830818558108,0.35729275352787215
rtx4090,3,1.5b,shared,1,1,64,64,0,193.53797990165953,0.681304156081751,0.02062137462198734
rtx4090,3,1.5b,shared,1,4,64,64,0,645.6841760676975,0.8140391061082481,0.038204179308377176
rtx4090,3,1.5b,shared,1,16,64,64,0,2495.5751215686983,0.837177294283174,0.08091966011561452
rtx4090,3,1.5b,shared,1,32,64,64,0,4446.157095428853,0.9180578908650204,0.09035668722353875
rtx4090,3,1.5b,unique,0,1,64,64,0,191.26082349447037,0.6949419753160327,0.037909016292542216
rtx4090,3,1.5b,unique,0,4,64,64,0,622.4809760889528,0.852248706948012,0.07745747577864677
rtx4090,3,1.5b,unique,0,16,64,64,0,2144.863392341127,0.9808313918299973,0.211970379576087
rtx4090,3,1.5b,unique,0,32,64,64,0,3312.5764429098463,1.3604368169093504,0.40076274785678834
rtx4090,3,1.5b,unique,1,1,64,64,0,190.37583099331636,0.6910586121259257,0.03510982706211507
rtx4090,3,1.5b,unique,1,4,64,64,0,619.787523041832,0.8645951083162798,0.07923782400321215
rtx4090,3,1.5b,unique,1,16,64,64,0,2152.78086173814,0.9863316435366869,0.2055468782549724
rtx4090,3,1.5b,unique,1,32,64,64,0,3283.342646154686,1.27095142013859,0.39354331537615506
rtx4090,3,7b,shared,0,1,64,64,0,59.15980474993606,2.225681017851457,0.11255111275240778
rtx4090,3,7b,shared,0,4,64,64,0,214.89702324704825,2.487003630725667,0.2665985747706145
rtx4090,3,7b,shared,0,16,64,64,0,678.0674647216961,3.1733352476032453,0.8421143526444211
rtx4090,3,7b,shared,0,32,64,64,0,1011.5325260472875,4.836451125540771,1.535765763418749
rtx4090,3,7b,shared,1,1,64,64,0,59.95909583336959,2.158799895667471,0.03242832578253001
rtx4090,3,7b,shared,1,4,64,64,0,228.72465515419947,2.313915617368184,0.08478357186540961
rtx4090,3,7b,shared,1,16,64,64,0,852.9278831326556,2.5180291823344305,0.24537851372733713
rtx4090,3,7b,shared,1,32,64,64,0,1483.1797780577015,2.8530048838583753,0.3000601956853643
rtx4090,3,7b,unique,0,1,64,64,0,59.02176037142178,2.22823672236409,0.11950895690824836
rtx4090,3,7b,unique,0,4,64,64,0,213.38127417098696,2.505439183139242,0.28038498912937937
rtx4090,3,7b,unique,0,16,64,64,0,663.5570081230301,3.2583618325414134,0.7852575820405037
rtx4090,3,7b,unique,0,32,64,64,0,973.1666237801709,5.33636094748508,1.68779608325567
rtx4090,3,7b,unique,1,1,64,64,0,59.00971025184268,2.226330503914505,0.11551441287156193
rtx4090,3,7b,unique,1,4,64,64,0,213.53106032362595,2.511548944818787,0.27791249481961133
rtx4090,3,7b,unique,1,16,64,64,0,664.5049577383568,3.3793911517132074,0.7875569923548028
rtx4090,3,7b,unique,1,32,64,64,0,981.650242097391,5.288312112167476,1.6493490780936548
rtx4090,4,1.5b,shared,0,1,64,64,0,187.30703344912536,0.7033971063792706,0.038324694707989694
rtx4090,4,1.5b,shared,0,4,64,64,0,616.1486677366436,0.8710356306750328,0.07869226159527898
rtx4090,4,1.5b,shared,0,16,64,64,0,2122.5190868479613,1.0007909620413558,0.21358786427881568
