cell,replicate,prefix_cache,concurrency,requests,successful,failed,elapsed_s,completion_tokens_per_s,ttft_mean_s,ttft_p95_s,latency_p95_s,gpu_sample_count,gpu_memory_peak_mib,gpu_utilization_mean_percent,fixed_output_length_mismatches
rep1-cache-off,1,False,1,64,64,0,40.477913610986434,202.38197251788552,0.021085735359520186,0.03260078425519168,0.6488709838056821,81,20010.0,85.90123456790124,0
rep1-cache-off,1,False,4,64,64,0,12.398175014008302,660.7424069061875,0.04114534520522284,0.06464062239974737,0.7961380220687715,24,20010.0,88.20833333333333,0
rep1-cache-off,1,False,16,64,64,0,3.5589133190223947,2301.8262221262185,0.11718585285871086,0.1978727056484786,0.9697335000426393,7,20010.0,86.71428571428571,0
rep1-cache-off,1,False,32,64,64,0,2.2790853760088794,3594.4243626124185,0.20394805212663414,0.3096721428591991,1.204868143844942,4,20010.0,89.25,0
rep1-cache-on,1,True,1,64,64,0,40.51006690200302,202.22133969358975,0.01661802707985771,0.03287032106454717,0.6509374981702422,81,19906.0,86.06172839506173,0
rep1-cache-on,1,True,4,64,64,0,11.862780289986404,690.5632406355045,0.016943916655691282,0.018706928043684456,0.7502097221542499,24,19906.0,87.83333333333333,0
rep1-cache-on,1,True,16,64,64,0,3.0137623450136743,2718.197077999138,0.031141603439664323,0.037685243994928896,0.7629571956014842,6,19906.0,86.16666666666667,0
rep1-cache-on,1,True,32,64,64,0,1.7461132500029635,4691.562818154032,0.05381070201565308,0.08088378469692543,0.8935252008886891,4,19906.0,79.5,0
rep2-cache-on,2,True,32,64,64,0,1.969219669001177,4160.023449367194,0.13754530787537078,0.19715348870959132,1.0061485838115913,4,20150.0,88.5,0
rep2-cache-on,2,True,16,64,64,0,3.016744132997701,2715.51037769309,0.028321581049112865,0.03967997675790684,0.7606528342366801,6,20150.0,85.0,0
rep2-cache-on,2,True,4,64,64,0,11.9529622309783,685.353123493432,0.019193591750536143,0.021435013302834705,0.7498122171658906,24,20150.0,87.45833333333333,0
rep2-cache-on,2,True,1,64,64,0,40.29511802297202,203.3000621894143,0.012909897485315014,0.015370037154934835,0.6377178928494687,81,20150.0,85.8641975308642,0
rep2-cache-off,2,False,32,64,64,0,2.266745783999795,3613.9915017487206,0.19737571618907168,0.30450875714595893,1.1409624085688848,5,20146.0,86.4,0
rep2-cache-off,2,False,16,64,64,0,3.5487219960195944,2308.4366735936246,0.11726822807622739,0.188613688434998,0.9313540477363859,7,20146.0,87.85714285714286,0
rep2-cache-off,2,False,4,64,64,0,12.365812837990234,662.4716148729462,0.04058796110939511,0.06375542923778994,0.7910050807884546,25,20146.0,87.88,0
rep2-cache-off,2,False,1,64,64,0,40.72940242901677,201.13233957402204,0.020986505109249265,0.03254579133063089,0.650622320146067,81,20537.0,85.69135802469135,0
rep3-cache-off,3,False,4,64,64,0,12.396298591018422,660.8424232323193,0.04110633621803572,0.0663450433552498,0.7955318515625549,25,20110.0,89.12,0
rep3-cache-off,3,False,32,64,64,0,2.266919293004321,3613.7148884304747,0.19835108445431615,0.33220501269679514,1.1749266849874402,5,20356.0,85.8,0
rep3-cache-off,3,False,1,64,64,0,40.656789920001756,201.4915593709924,0.02087105615555629,0.03248485633812379,0.6506000480425428,81,20356.0,85.96296296296296,0
rep3-cache-off,3,False,16,64,64,0,3.5732803379942197,2292.57131406555,0.11782357603169658,0.1892685852566501,0.9329824695625575,7,20356.0,89.42857142857143,0
rep3-cache-on,3,True,4,64,64,0,12.176811005017953,672.7541387169556,0.028858121250323165,0.043838808459986466,0.7874261514429236,25,20024.0,87.96,0
rep3-cache-on,3,True,32,64,64,0,1.7385368380055297,4712.008293938689,0.05884744257764396,0.07162164590263273,0.8783445686509367,3,20024.0,85.0,0
rep3-cache-on,3,True,1,64,64,0,40.160242934012786,203.98282982152918,0.012616043312391412,0.01505588599393377,0.6372507865453372,81,20024.0,85.74074074074075,0
rep3-cache-on,3,True,16,64,64,0,2.9977160090056714,2732.7471899905718,0.02686257074947207,0.03628746093454538,0.7644070473936153,6,20024.0,85.83333333333333,0
