timestamp,index,uuid,name,memory.used,memory.total,utilization.gpu,utilization.memory,power.draw,temperature.gpu
2026/09/24 02:29:21.192, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 472, 24564, 0, 0, 20.03, 37
2026/09/24 02:29:21.693, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 3570, 24564, 0, 0, 30.25, 38
2026/09/24 02:29:22.193, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 3570, 24564, 0, 0, 60.58, 38
2026/09/24 02:29:22.693, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 3570, 24564, 41, 1, 61.30, 38
2026/09/24 02:29:23.193, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 3570, 24564, 41, 1, 62.57, 38
2026/09/24 02:29:23.693, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 3570, 24564, 0, 0, 63.53, 38
2026/09/24 02:29:24.194, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 3570, 24564, 0, 0, 63.53, 38
2026/09/24 02:29:24.694, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 3570, 24564, 0, 0, 62.48, 38
2026/09/24 02:29:25.194, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 3570, 24564, 0, 0, 62.48, 38
2026/09/24 02:29:25.694, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 3570, 24564, 0, 0, 61.75, 38
2026/09/24 02:29:26.195, 0, GPU-740af22d-b5b8-c3d3-63ea-bc506de7f0f7, NVIDIA GeForce RTX 4090, 3570, 24564, 0, 0, 61.75, 38
